,loss,accuracy
0,0.06488950550556183,0.9817000031471252
1,0.11926893144845963,0.9811000227928162
2,0.11395460367202759,0.984000027179718
3,0.13742169737815857,0.9843999743461609
4,0.15257300436496735,0.9837999939918518
5,2.32621431350708,0.11349999904632568
6,2.311798334121704,0.11349999904632568
7,2.308880090713501,0.11349999904632568
8,2.3085033893585205,0.11349999904632568
9,2.3048131465911865,0.11349999904632568
10,2.304868698120117,0.11349999904632568
11,2.3046717643737793,0.11349999904632568
12,2.303837299346924,0.11349999904632568
13,2.3037142753601074,0.11349999904632568
14,2.3036863803863525,0.11349999904632568
